Brand,Year,Mileage,Transmission,Horsepower,Condition,Color,Price
Tesla Model 3,2015,96400,Manual,233,Minor Scratches,Red,28395
Honda Civic,2024,14495,Manual,220,Minor Scratches,Blue,32108
BMW 3 Series,2021,38580,Manual,283,Repaired,Gray,48955
BMW 3 Series,2015,96260,Manual,232,Minor Scratches,Black,32641
Fiat Tipo,2016,98208,Automatic,223,Minor Scratches,Black,9897
Fiat Tipo,2022,29769,Manual,130,Salvage,White,11296
Tesla Model 3,2018,80850,Automatic,135,Minor Scratches,Red,37125
Volkswagen Golf,2021,46704,Manual,158,Clean Title,White,30097
Ford Focus,2021,34240,Automatic,205,Salvage,Red,14025
Volkswagen Golf,2019,88140,Manual,217,Clean Title,White,22718
Fiat Tipo,2019,70128,Manual,250,Minor Scratches,Blue,14557
Honda Civic,2016,128358,Automatic,185,Repaired,Black,10853
Tesla Model 3,2017,95376,Automatic,162,Salvage,Blue,17850
Volkswagen Golf,2018,92736,Automatic,201,Clean Title,Blue,22207
Honda Civic,2015,100730,Automatic,206,Clean Title,Blue,15483
Toyota Corolla,2022,36222,Automatic,176,Clean Title,White,29426
Fiat Tipo,2022,28350,Automatic,256,Minor Scratches,White,22552
Honda Civic,2023,29226,Automatic,161,Minor Scratches,Blue,30781
BMW 3 Series,2017,115880,Manual,228,Clean Title,Red,40950
Toyota Corolla,2021,48240,Manual,289,Minor Scratches,Black,23944
Toyota Corolla,2019,89478,Manual,187,Minor Scratches,White,17045
Volkswagen Golf,2021,48968,Automatic,201,Repaired,White,24781
Ford Focus,2016,84753,Manual,199,Salvage,White,7160
Volkswagen Golf,2018,58373,Automatic,115,Clean Title,White,24579
Fiat Tipo,2023,24504,Automatic,292,Repaired,White,20767
Honda Civic,2017,67216,Automatic,297,Repaired,Red,18330
BMW 3 Series,2020,47100,Automatic,287,Minor Scratches,Black,50474
Toyota Corolla,2023,23742,Automatic,281,Salvage,White,16952
Tesla Model 3,2020,45680,Manual,247,Minor Scratches,Gray,41235
Honda Civic,2022,36249,Manual,141,Clean Title,Blue,31094
Ford Focus,2017,97824,Manual,243,Minor Scratches,Blue,12937
Honda Civic,2022,31329,Manual,159,Clean Title,Blue,31579
Fiat Tipo,2020,65475,Manual,113,Minor Scratches,Red,15610
Tesla Model 3,2016,125505,Automatic,145,Minor Scratches,Gray,28183
Toyota Corolla,2024,8200,Automatic,237,Minor Scratches,Black,31025
Toyota Corolla,2024,11603,Automatic,164,Minor Scratches,Blue,32872
Volkswagen Golf,2018,82726,Automatic,117,Minor Scratches,Gray,20291
Ford Focus,2015,107280,Manual,100,Salvage,Gray,5076
Toyota Corolla,2023,19172,Automatic,255,Minor Scratches,White,29111
Honda Civic,2023,16536,Automatic,245,Minor Scratches,Black,32949
Ford Focus,2018,69699,Automatic,134,Minor Scratches,Blue,17692
Volkswagen Golf,2024,8156,Manual,279,Clean Title,Gray,37942
Fiat Tipo,2016,122967,Automatic,122,Minor Scratches,Blue,7402
Toyota Corolla,2023,25060,Manual,178,Salvage,Black,16053
Ford Focus,2024,12596,Manual,282,Minor Scratches,Black,28674
Honda Civic,2020,73880,Automatic,129,Minor Scratches,Red,22839
Honda Civic,2020,69980,Manual,104,Minor Scratches,Blue,22435
Volkswagen Golf,2024,8594,Manual,178,Clean Title,White,38458
Fiat Tipo,2024,14449,Manual,297,Clean Title,Red,27047
Ford Focus,2022,39447,Automatic,164,Salvage,White,13677
Volkswagen Golf,2022,30684,Manual,145,Clean Title,Black,32822
Honda Civic,2017,104672,Automatic,257,Repaired,Gray,15084
Ford Focus,2021,43392,Manual,268,Salvage,Black,12812
Volkswagen Golf,2017,71312,Manual,207,Clean Title,Gray,20341
Volkswagen Golf,2022,44916,Automatic,294,Salvage,Black,16344
Fiat Tipo,2015,138910,Automatic,204,Clean Title,Red,5743
Volkswagen Golf,2021,56984,Automatic,245,Salvage,Red,15527
Fiat Tipo,2023,19600,Automatic,281,Repaired,Blue,21329
Volkswagen Golf,2016,78840,Manual,222,Repaired,Black,14706
BMW 3 Series,2022,34110,Manual,260,Minor Scratches,Red,56806
Toyota Corolla,2019,66474,Manual,157,Clean Title,Black,22184
Volkswagen Golf,2020,57110,Manual,148,Repaired,Black,22092
Toyota Corolla,2017,71832,Manual,216,Salvage,Black,8557
Ford Focus,2023,29292,Automatic,164,Minor Scratches,White,27928
BMW 3 Series,2018,97020,Manual,168,Repaired,Red,34853
Toyota Corolla,2022,40515,Manual,250,Salvage,Red,13812
BMW 3 Series,2016,127296,Automatic,274,Salvage,Black,19250
BMW 3 Series,2020,54295,Automatic,102,Repaired,Red,44975
Ford Focus,2018,91322,Automatic,176,Clean Title,White,17188
BMW 3 Series,2020,68400,Automatic,226,Salvage,Black,26120
Ford Focus,2023,24990,Manual,228,Clean Title,Gray,30369
Toyota Corolla,2023,22426,Manual,202,Clean Title,Black,32439
Toyota Corolla,2023,18672,Automatic,141,Salvage,Blue,17538
Toyota Corolla,2019,72558,Automatic,258,Minor Scratches,Black,20727
BMW 3 Series,2015,82320,Automatic,198,Clean Title,White,38939
Toyota Corolla,2018,104601,Automatic,210,Minor Scratches,Blue,16084
Ford Focus,2021,58076,Automatic,167,Repaired,Red,19707
BMW 3 Series,2023,28938,Automatic,268,Repaired,White,56117
Volkswagen Golf,2020,71340,Automatic,170,Salvage,White,13601
Volkswagen Golf,2019,77202,Automatic,279,Repaired,Black,19621
Ford Focus,2020,54245,Manual,170,Clean Title,Black,22911
Toyota Corolla,2024,8905,Manual,270,Clean Title,Blue,32882
Honda Civic,2017,77704,Manual,151,Clean Title,Black,19207
Toyota Corolla,2020,62625,Automatic,240,Minor Scratches,Black,21333
BMW 3 Series,2016,126198,Automatic,184,Repaired,Black,28284
Fiat Tipo,2017,117488,Manual,102,Clean Title,Gray,8392
Fiat Tipo,2022,30348,Automatic,153,Salvage,White,12270
Honda Civic,2023,21674,Automatic,129,Minor Scratches,White,31183
Fiat Tipo,2015,122400,Manual,196,Clean Title,Blue,5559
Tesla Model 3,2023,22860,Automatic,162,Salvage,Red,28515
Tesla Model 3,2021,36888,Automatic,299,Repaired,Blue,40674
Honda Civic,2020,67655,Manual,287,Repaired,Red,20395
Honda Civic,2023,27886,Manual,227,Repaired,Black,26253
Volkswagen Golf,2018,82656,Automatic,150,Clean Title,Black,22300
Tesla Model 3,2015,106530,Automatic,272,Salvage,Blue,15139
Ford Focus,2018,83083,Manual,145,Minor Scratches,White,14970
Honda Civic,2022,29976,Automatic,168,Minor Scratches,Gray,31762
Ford Focus,2024,13696,Manual,198,Salvage,Black,15858
BMW 3 Series,2024,14905,Automatic,262,Clean Title,Blue,73865
Volkswagen Golf,2020,44775,Automatic,289,Minor Scratches,Blue,28247
Fiat Tipo,2023,23226,Manual,269,Repaired,Blue,19879
Tesla Model 3,2018,92267,Manual,120,Minor Scratches,Black,35864
Fiat Tipo,2020,66090,Automatic,264,Repaired,White,15499
Volkswagen Golf,2017,64888,Manual,105,Salvage,Gray,11209
Ford Focus,2024,10312,Automatic,268,Minor Scratches,White,30150
Fiat Tipo,2023,22776,Manual,208,Clean Title,Gray,26328
BMW 3 Series,2015,138840,Automatic,147,Repaired,Gray,27346
Ford Focus,2018,83272,Manual,291,Repaired,Gray,13451
Volkswagen Golf,2020,68760,Manual,187,Salvage,Red,13750
Honda Civic,2018,101773,Automatic,216,Repaired,Blue,16399
Volkswagen Golf,2019,63714,Manual,100,Salvage,Blue,13209
Ford Focus,2022,31887,Manual,162,Clean Title,Blue,28463
Tesla Model 3,2017,89864,Manual,206,Salvage,Red,17258
Fiat Tipo,2017,87928,Manual,177,Minor Scratches,Black,10849
Honda Civic,2024,13012,Automatic,164,Repaired,Red,31720
Tesla Model 3,2023,25738,Automatic,101,Salvage,Black,30000
Honda Civic,2020,41085,Manual,166,Repaired,Gray,21490
Ford Focus,2018,77889,Manual,239,Salvage,Black,8810
Honda Civic,2021,52964,Manual,166,Minor Scratches,Black,25470
BMW 3 Series,2024,12698,Manual,210,Repaired,Red,56749
BMW 3 Series,2016,74907,Manual,150,Repaired,Gray,33737
Fiat Tipo,2016,113679,Manual,299,Minor Scratches,Blue,7356
BMW 3 Series,2023,17258,Manual,161,Salvage,Gray,34430
BMW 3 Series,2019,80256,Manual,187,Repaired,Blue,37824
Toyota Corolla,2020,59365,Manual,294,Clean Title,White,23998
Ford Focus,2022,29865,Manual,289,Minor Scratches,Blue,23823
Ford Focus,2020,42355,Automatic,256,Salvage,Blue,12829
Volkswagen Golf,2016,90666,Manual,101,Minor Scratches,Black,15908
Ford Focus,2016,84852,Manual,217,Clean Title,White,13298
Tesla Model 3,2020,40830,Automatic,155,Clean Title,White,49153
Fiat Tipo,2023,16764,Manual,266,Clean Title,Red,25186
Honda Civic,2022,30075,Manual,290,Minor Scratches,White,30098
Volkswagen Golf,2021,36956,Automatic,126,Minor Scratches,Red,29517
Fiat Tipo,2022,34539,Manual,162,Clean Title,Blue,23604
Tesla Model 3,2018,81816,Manual,100,Clean Title,White,37928
BMW 3 Series,2018,103313,Manual,208,Minor Scratches,Black,39831
Tesla Model 3,2018,73878,Automatic,230,Salvage,Gray,19903
Fiat Tipo,2023,25290,Automatic,228,Salvage,White,12702
Tesla Model 3,2018,94374,Automatic,212,Salvage,Blue,20729
Toyota Corolla,2016,73791,Automatic,229,Clean Title,Gray,17775
Toyota Corolla,2017,89112,Automatic,288,Clean Title,White,17414
BMW 3 Series,2023,24190,Automatic,137,Clean Title,White,69010
Toyota Corolla,2015,147470,Manual,196,Salvage,Black,3528
Fiat Tipo,2017,108000,Automatic,146,Salvage,Red,5552
BMW 3 Series,2016,112878,Manual,185,Clean Title,Blue,37553
Ford Focus,2017,114344,Automatic,235,Repaired,Black,11449
Honda Civic,2020,44765,Automatic,215,Minor Scratches,White,25458
Fiat Tipo,2017,109048,Automatic,253,Minor Scratches,Red,10031
Fiat Tipo,2019,73596,Automatic,188,Salvage,Gray,8125
Fiat Tipo,2015,107680,Automatic,189,Clean Title,Gray,9050
Tesla Model 3,2016,77562,Automatic,160,Salvage,Blue,18065
BMW 3 Series,2024,11585,Automatic,103,Clean Title,Blue,69735
Tesla Model 3,2016,120060,Manual,273,Clean Title,Black,29632
Tesla Model 3,2019,75462,Manual,123,Clean Title,Gray,41787
Ford Focus,2024,12536,Automatic,223,Minor Scratches,Gray,30810
Tesla Model 3,2017,101056,Manual,110,Salvage,Red,17354
Volkswagen Golf,2023,25034,Manual,209,Salvage,Blue,17461
Honda Civic,2018,66591,Manual,120,Minor Scratches,White,19139
Toyota Corolla,2023,25954,Automatic,189,Repaired,Blue,26212
BMW 3 Series,2019,53784,Manual,280,Repaired,Red,42806
Tesla Model 3,2022,39780,Automatic,243,Repaired,Gray,44770
Honda Civic,2017,91496,Manual,116,Repaired,Red,14930
BMW 3 Series,2017,81296,Automatic,139,Minor Scratches,Black,39112
Honda Civic,2020,66725,Automatic,184,Repaired,Red,20617
Toyota Corolla,2024,13591,Manual,283,Salvage,Gray,17267
Honda Civic,2022,28659,Automatic,299,Repaired,White,27414
Fiat Tipo,2022,37074,Automatic,130,Minor Scratches,Gray,21480
Fiat Tipo,2016,77580,Automatic,172,Salvage,White,6753
Toyota Corolla,2016,91953,Automatic,295,Repaired,Blue,12230
Fiat Tipo,2020,40275,Automatic,122,Salvage,Red,10457
Fiat Tipo,2023,21684,Manual,248,Repaired,Black,20771
Ford Focus,2017,115584,Manual,162,Minor Scratches,Black,11127
BMW 3 Series,2020,65675,Manual,222,Clean Title,Red,53590
Volkswagen Golf,2015,89200,Automatic,201,Clean Title,Red,16938
Fiat Tipo,2016,92376,Manual,208,Repaired,Blue,7712
Tesla Model 3,2020,44565,Automatic,170,Repaired,Red,40407
Tesla Model 3,2019,59820,Manual,223,Clean Title,Red,43993
Ford Focus,2023,27324,Manual,283,Repaired,White,22789
Ford Focus,2018,72660,Manual,160,Salvage,White,9077
Honda Civic,2022,43605,Automatic,128,Salvage,Gray,16411
Fiat Tipo,2022,35850,Manual,133,Clean Title,Blue,23090
Toyota Corolla,2024,8866,Automatic,110,Salvage,Red,17662
Toyota Corolla,2021,36912,Automatic,182,Clean Title,White,28703
Volkswagen Golf,2016,89181,Automatic,271,Minor Scratches,Gray,17186
Fiat Tipo,2021,51952,Automatic,200,Repaired,Black,18025
Ford Focus,2017,115816,Automatic,234,Clean Title,Black,14000
Fiat Tipo,2018,90734,Automatic,164,Minor Scratches,Gray,13023
Volkswagen Golf,2024,12274,Automatic,215,Clean Title,Red,39892
Fiat Tipo,2015,88230,Automatic,212,Clean Title,White,11086
BMW 3 Series,2023,27234,Automatic,150,Clean Title,Black,65900
Toyota Corolla,2021,47720,Manual,233,Minor Scratches,White,24689
BMW 3 Series,2018,68439,Manual,117,Repaired,Gray,38543
Ford Focus,2017,92640,Manual,178,Clean Title,Black,14469
Fiat Tipo,2019,70536,Manual,131,Minor Scratches,Gray,14039
BMW 3 Series,2015,117500,Manual,297,Minor Scratches,Gray,30278
BMW 3 Series,2017,66776,Automatic,280,Repaired,Black,37665
Ford Focus,2020,47095,Automatic,275,Clean Title,White,23714
Tesla Model 3,2016,117468,Manual,157,Salvage,Red,15528
Tesla Model 3,2022,24276,Manual,182,Clean Title,Black,54324
Fiat Tipo,2023,23966,Automatic,141,Minor Scratches,Blue,25218
Ford Focus,2023,25054,Manual,264,Minor Scratches,Blue,26354
Toyota Corolla,2024,13756,Automatic,229,Clean Title,Gray,34499
BMW 3 Series,2024,14839,Automatic,142,Clean Title,Gray,69502
Toyota Corolla,2016,87174,Manual,163,Repaired,Blue,11801
Honda Civic,2016,76059,Manual,107,Salvage,Gray,9140
Fiat Tipo,2023,27542,Manual,170,Repaired,Gray,20418
BMW 3 Series,2018,61544,Automatic,160,Minor Scratches,Gray,44652
Toyota Corolla,2018,68026,Manual,182,Clean Title,Red,19357
Honda Civic,2022,24318,Manual,133,Clean Title,White,33000
BMW 3 Series,2020,49830,Manual,170,Salvage,Blue,27422
Honda Civic,2019,52872,Manual,205,Repaired,Black,19303
Volkswagen Golf,2015,104530,Automatic,155,Clean Title,White,15638
Volkswagen Golf,2021,56728,Automatic,199,Clean Title,Blue,30158
BMW 3 Series,2022,28446,Automatic,133,Minor Scratches,White,56087
Toyota Corolla,2024,13719,Automatic,135,Repaired,White,27480
Volkswagen Golf,2023,19512,Automatic,153,Minor Scratches,Black,35862
Tesla Model 3,2020,59850,Manual,239,Repaired,Gray,37484
Fiat Tipo,2024,8792,Automatic,142,Clean Title,White,28076
Toyota Corolla,2017,93040,Automatic,113,Salvage,White,8686
Honda Civic,2016,117135,Manual,244,Minor Scratches,Red,12402
Fiat Tipo,2019,60624,Manual,129,Clean Title,White,17475
Honda Civic,2020,40510,Manual,197,Clean Title,White,28662
Fiat Tipo,2015,98720,Automatic,168,Minor Scratches,White,8878
Fiat Tipo,2024,11220,Manual,130,Repaired,Blue,21597
Honda Civic,2024,8767,Automatic,135,Repaired,Black,31514
Volkswagen Golf,2024,11939,Manual,257,Minor Scratches,Black,34103
Ford Focus,2024,9134,Automatic,187,Clean Title,Blue,33603
Toyota Corolla,2015,93610,Manual,116,Salvage,Gray,6407
Honda Civic,2016,126360,Automatic,287,Minor Scratches,Blue,12686
Honda Civic,2021,44076,Automatic,175,Repaired,White,25272
BMW 3 Series,2018,93772,Manual,215,Clean Title,White,43898
Toyota Corolla,2015,86470,Manual,166,Repaired,Black,10397
Toyota Corolla,2015,100610,Manual,248,Salvage,White,5721
Fiat Tipo,2022,38982,Manual,190,Clean Title,White,22301
Volkswagen Golf,2018,72401,Manual,106,Clean Title,Blue,21998
BMW 3 Series,2020,70015,Manual,264,Minor Scratches,White,46611
BMW 3 Series,2019,76608,Automatic,209,Clean Title,Gray,53330
Toyota Corolla,2022,26877,Automatic,232,Salvage,Black,15785
Ford Focus,2016,89235,Manual,252,Repaired,Blue,10411
Tesla Model 3,2015,137170,Automatic,245,Salvage,Blue,14399
Volkswagen Golf,2023,28674,Manual,235,Salvage,Blue,17309
Fiat Tipo,2016,119079,Manual,167,Minor Scratches,Red,6562
Toyota Corolla,2018,82572,Manual,213,Repaired,Black,14033
Volkswagen Golf,2023,28286,Automatic,254,Salvage,Blue,17893
Tesla Model 3,2018,79821,Automatic,250,Minor Scratches,Red,38113
Honda Civic,2019,75402,Automatic,279,Salvage,White,12278
Toyota Corolla,2018,104503,Automatic,156,Minor Scratches,Black,15799
Fiat Tipo,2024,14971,Automatic,121,Repaired,Red,23251
Volkswagen Golf,2023,28924,Manual,121,Repaired,Blue,29265
Toyota Corolla,2015,121560,Manual,145,Clean Title,Gray,9353
Toyota Corolla,2018,90496,Automatic,284,Salvage,Blue,9426
Honda Civic,2024,12861,Manual,104,Salvage,Black,19067
Volkswagen Golf,2017,113592,Automatic,232,Repaired,Blue,14939
Fiat Tipo,2016,89910,Manual,192,Clean Title,Red,10510
Ford Focus,2021,33552,Manual,299,Clean Title,Red,25372
Toyota Corolla,2015,110320,Automatic,146,Minor Scratches,Red,10728
Ford Focus,2017,95496,Automatic,206,Salvage,Blue,7609
Toyota Corolla,2016,104904,Manual,166,Salvage,Blue,6368
Tesla Model 3,2023,24062,Automatic,111,Clean Title,Blue,59135
Volkswagen Golf,2016,84780,Automatic,298,Minor Scratches,White,17810
Toyota Corolla,2024,8324,Manual,200,Minor Scratches,Red,31984
Volkswagen Golf,2016,126990,Manual,198,Clean Title,Red,14462
Honda Civic,2023,26200,Manual,290,Repaired,White,28117
Fiat Tipo,2015,87570,Manual,279,Repaired,Blue,7664
Volkswagen Golf,2015,148080,Automatic,290,Minor Scratches,Red,10956
BMW 3 Series,2015,145970,Automatic,233,Minor Scratches,Red,29514
Toyota Corolla,2018,66206,Manual,188,Salvage,Blue,9459
Ford Focus,2020,51135,Automatic,282,Clean Title,White,25342
Fiat Tipo,2021,48416,Manual,145,Salvage,Black,9776
Toyota Corolla,2018,89502,Automatic,183,Salvage,White,9616
Ford Focus,2017,85640,Manual,267,Repaired,White,11928
Toyota Corolla,2015,138170,Automatic,151,Salvage,Blue,5014
Ford Focus,2017,74904,Automatic,243,Repaired,White,14210
Ford Focus,2024,11868,Automatic,130,Clean Title,Black,33980
